,City,Cloudiness,County,Date,Humidity,Latitude,Max Temp (F),Wind Speed
250,garrel,0,DE,1527827492,88,52.96,64.4,2.24
251,yakeshi,24,CN,1527827492,56,49.28,80.81,13.44
252,airai,12,TL,1527827492,55,-8.93,82.01,2.37
253,fernandez,36,PH,1527827492,95,11.38,85.76,3.27
254,igrim,92,RU,1527827492,95,63.19,45.26,2.15
255,willowmore,88,ZA,1527827493,66,-33.3,52.64,13.33
256,tasiilaq,80,GL,1527827493,100,65.61,30.2,10.31
257,ust-maya,0,RU,1527827493,40,60.42,62.81,9.53
258,poum,0,MK,1527827493,83,41.28,62.99,2.26
259,gobabis,0,NA,1527827493,49,-22.45,46.61,7.63
260,torbay,90,CA,1527827494,100,47.66,35.6,11.41
261,mahina,20,ML,1527827494,67,13.76,77.3,6.96
262,irece,68,BR,1527827494,96,-11.3,62.81,7.63
263,pascagoula,1,US,1527827494,78,30.37,82.4,5.17
264,rundu,36,NA,1527827495,58,-17.91,58.52,1.7
265,porto novo,40,BR,1527827495,77,-23.68,66.2,2.24
266,puerto cabello,12,VE,1527827495,98,10.47,66.68,2.15
267,altay,0,CN,1527827495,42,47.83,51.83,2.71
268,san patricio,92,PY,1527827495,100,-26.98,65.36,2.26
269,saldanha,76,PT,1527827495,84,41.42,51.05,3.15
270,padang,8,ID,1527827495,100,-0.92,85.13,5.61
271,kolokani,80,ML,1527827496,73,13.58,78.11,6.51
272,inhambane,0,MZ,1527827496,77,-23.87,69.8,5.82
273,burnie,0,AU,1527827496,100,-41.05,53.81,4.72
274,copiapo,44,CL,1527827496,87,-27.37,53.6,3.36
275,tysmenytsya,0,UA,1527827497,93,48.9,57.2,12.44
276,caravelas,0,BR,1527827497,100,-17.73,75.98,8.19
277,salinopolis,0,BR,1527827497,100,-0.61,80.75,10.42
278,manggar,20,ID,1527827497,87,-2.88,85.79,4.05
279,saint pete beach,1,US,1527827497,83,27.73,78.8,10.29
280,veraval,75,FR,1527827497,93,49.65,60.8,2.24
281,praya,40,ID,1527827498,52,-8.71,87.8,12.75
282,kavaratti,92,IN,1527827498,100,10.57,81.2,13.44
283,coquimbo,40,CL,1527827498,87,-29.95,50.0,9.42
284,jardim,88,BR,1527827498,89,-21.48,69.56,4.38
285,nizhneudinsk,12,RU,1527827499,50,54.91,55.97,9.42
286,fairbanks,75,US,1527827499,71,64.84,57.2,2.71
287,assiniboia,100,CA,1527827499,96,49.63,53.0,11.43
288,cayambe,36,EC,1527827499,92,0.04,40.58,0.58
289,moratuwa,40,LK,1527827499,79,6.77,84.2,16.11
290,skotterud,0,NO,1527827500,42,59.98,66.14,3.38
291,aquiraz,75,BR,1527827500,83,-3.9,80.6,14.99
292,itarema,8,BR,1527827500,87,-2.92,78.5,12.33
293,juneau,75,US,1527827500,51,58.3,59.0,8.05
294,te anau,0,NZ,1527827500,91,-45.41,32.84,0.69
295,arona,0,IT,1527827501,93,45.76,64.4,5.82
296,san borja,64,BO,1527827501,93,-14.86,71.63,1.7
297,magadan,75,RU,1527827501,82,59.56,57.2,13.42
298,ahipara,12,NZ,1527827501,84,-35.17,61.4,17.47
299,nsoko,0,ZA,1527827501,72,-27.07,62.09,4.5
300,dickinson,1,US,1527827502,88,46.88,62.6,17.22
301,tetovo,8,BG,1527827502,62,43.82,73.88,4.38
302,sandakan,75,MY,1527827502,79,5.84,84.2,3.36
303,sao jose da coroa grande,68,BR,1527827502,100,-8.9,73.34,4.05
304,tual,44,ID,1527827503,96,-5.67,83.51,15.01
305,honningsvag,75,NO,1527827503,87,70.98,42.8,23.04
306,am timan,12,TD,1527827503,75,11.04,79.91,8.86
307,cabras,44,CO,1527827503,96,5.5,59.39,1.7
308,lima,12,PE,1527827504,61,-12.06,51.56,1.59
309,marawi,88,PH,1527827504,98,8.0,74.9,3.27
310,lebu,80,ET,1527827504,97,8.96,48.17,2.82
311,hesla,0,IN,1527827504,76,24.07,90.44,6.96
312,york,20,GB,1527827505,93,53.96,57.2,2.24
313,ariquemes,76,BR,1527827505,83,-9.91,75.8,2.15
314,acapulco,40,MX,1527827505,79,16.86,84.2,3.94
315,puerto escondido,76,MX,1527827505,100,15.86,83.06,14.0
316,maniitsoq,92,GL,1527827505,95,65.42,33.23,30.89
317,duekoue,88,CI,1527827505,94,6.74,74.45,3.94
318,kaz,80,RU,1527827505,46,53.11,62.36,7.63
319,lorengau,56,PG,1527827506,100,-2.02,83.15,6.62
320,luoyang,44,CN,1527827506,59,34.66,80.72,8.97
321,mount isa,0,AU,1527827506,16,-20.73,77.0,4.7
322,bilibino,80,RU,1527827506,68,68.06,43.22,7.07
323,tongren,100,CN,1527827506,100,27.72,63.44,3.6
324,talcahuano,0,CL,1527827507,81,-36.72,42.8,11.41
325,okato,32,NZ,1527827507,100,-39.19,53.0,9.31
326,concarneau,90,FR,1527827507,93,47.88,59.0,5.82
327,zhigansk,44,RU,1527827507,83,66.77,46.73,10.65
328,kurmanayevka,0,RU,1527827507,61,52.51,47.24,11.99
329,santa cruz,40,US,1527827508,66,36.97,55.4,8.05
330,ulladulla,75,AU,1527827509,51,-35.36,59.0,18.34
331,yining,56,CN,1527827509,77,29.04,74.15,3.04
332,trinidad,100,UY,1527827509,98,-33.52,51.95,12.77
333,kuznechnoye,0,RU,1527827509,46,61.12,58.04,5.95
334,morondava,0,MG,1527827509,88,-20.3,73.7,3.49
335,antofagasta,90,CL,1527827509,72,-23.65,59.0,11.41
336,khash,0,IR,1527827510,13,28.22,93.68,4.16
337,chanute,1,US,1527827510,88,37.68,78.8,7.74
338,codrington,0,AU,1527827510,67,-28.95,62.9,5.17
339,lavrentiya,76,RU,1527827511,97,65.58,32.48,3.6
340,touros,100,BR,1527827511,96,-5.2,76.61,10.98
341,mayo,75,CA,1527827511,47,63.59,59.0,4.7
342,boda,80,BD,1527827512,80,26.2,84.59,13.22
343,alice,20,US,1527827512,83,27.75,82.4,13.87
344,tilichiki,36,RU,1527827512,91,60.47,41.48,6.4
345,kazanka,0,UA,1527827512,51,47.83,59.0,8.95
346,college,75,US,1527827513,71,64.86,57.2,2.71
347,chiang klang,75,TH,1527827513,74,19.29,84.2,5.82
348,hami,0,CN,1527827513,39,42.84,69.5,9.53
349,cotonou,20,BJ,1527827513,83,6.37,80.6,9.17
350,uyemskiy,75,RU,1527827514,64,64.47,39.2,2.24
351,victoria falls,0,ZW,1527827514,64,-17.93,58.31,1.59
352,cabo san lucas,5,MX,1527827514,54,22.89,80.6,8.75
353,jieshi,64,CN,1527827514,83,22.82,85.31,13.33
354,muncar,32,ID,1527827514,82,-8.43,81.17,6.51
355,hudiksvall,36,SE,1527827515,65,61.73,61.46,5.39
356,havoysund,75,NO,1527827515,87,71.0,42.8,23.04
357,yinchuan,48,CN,1527827515,34,38.48,77.84,7.74
358,ust-ilimsk,92,RU,1527827515,88,57.96,50.93,10.2
359,port-gentil,92,GA,1527827516,100,-0.72,78.02,8.86
360,pangai,40,TO,1527827516,78,-19.8,75.2,11.41
361,mount gambier,36,AU,1527827516,81,-37.83,54.2,4.05
362,havelock,75,US,1527827516,94,34.88,77.0,11.41
363,yelizovo,68,RU,1527827516,66,53.19,59.0,15.66
364,manokwari,36,ID,1527827516,100,-0.87,82.1,8.19
365,richards bay,0,ZA,1527827517,83,-28.77,62.45,4.38
366,itatskiy,100,RU,1527827517,81,56.07,51.83,17.02
367,ahuimanu,75,US,1527827517,74,21.44,80.6,8.05
368,flinders,75,AU,1527827517,51,-34.58,59.0,18.34
369,loandjili,75,CG,1527827517,88,-4.77,77.0,9.17
370,sault sainte marie,90,CA,1527827518,100,46.49,62.6,12.75
371,itaituba,56,BR,1527827518,80,-4.26,77.39,2.48
372,kindu,0,CD,1527827518,72,-2.95,77.3,3.15
373,shelburne,1,CA,1527827518,94,44.08,71.6,5.82
374,qaqortoq,0,GL,1527827518,75,60.72,42.8,4.7
375,san cristobal,40,EC,1527827518,93,-0.39,51.8,5.82
376,margate,75,AU,1527827519,54,-43.03,55.4,5.82
377,port hardy,40,CA,1527827519,71,50.7,50.0,4.7
378,nederland,1,US,1527827519,83,29.97,80.6,9.17
379,rafina,0,GR,1527827519,28,38.02,71.6,4.7
380,san quintin,40,PH,1527827519,70,17.54,91.4,9.17
381,antsohihy,0,MG,1527827519,90,-14.88,63.92,4.83
382,ruteng,80,ID,1527827520,70,-8.61,81.26,4.61
383,avera,1,US,1527827520,94,33.19,77.0,4.7
384,gamba,36,CN,1527827520,85,28.28,33.68,2.04
385,waitati,0,NZ,1527827521,89,-45.75,31.13,3.94
386,kodinsk,80,RU,1527827521,72,58.6,53.0,10.65
387,luderitz,8,NA,1527827521,90,-26.65,51.77,4.38
388,mambolo,68,SL,1527827521,98,8.92,79.46,9.42
389,sinnamary,64,GF,1527827521,100,5.38,76.7,14.45
390,stellenbosch,75,ZA,1527827521,71,-33.93,57.2,14.99
391,sergeyevka,92,KZ,1527827522,100,53.88,49.67,5.61
392,kieta,80,PG,1527827522,98,-6.22,82.01,4.72
393,wajid,8,SO,1527827522,64,3.81,80.9,11.99
394,alyangula,68,AU,1527827522,81,-13.85,81.92,16.02
395,kununurra,0,AU,1527827523,26,-15.77,84.2,12.75
396,brcko,0,BA,1527827523,93,44.87,60.8,1.12
397,monrovia,75,LR,1527827523,94,6.33,77.0,2.71
398,singarayakonda,0,IN,1527827523,58,15.25,97.55,7.4
399,carballo,75,ES,1527827524,93,43.21,53.6,3.36
400,sonoita,1,US,1527827524,5,31.68,84.2,9.17
401,reconquista,92,AR,1527827524,100,-29.14,52.73,17.02
402,gladstone,0,AU,1527827525,57,-23.84,67.58,6.62
403,arrifes,75,PT,1527827525,82,37.77,64.4,9.17
404,viedma,64,AR,1527827525,76,-40.81,39.62,2.48
405,pingliang,92,CN,1527827525,56,35.54,65.51,6.96
406,zaozerne,0,UA,1527827525,42,51.37,63.38,12.77
407,zaton,0,UA,1527827526,47,49.77,59.48,11.88
408,kamenka,12,RU,1527827526,46,53.19,48.32,13.67
409,hasaki,75,JP,1527827526,53,35.73,75.2,5.82
410,rocha,88,UY,1527827526,95,-34.48,54.11,14.79
411,bull savanna,32,JM,1527827526,88,17.89,71.45,5.39
412,eureka,1,US,1527827527,76,40.8,51.8,4.7
413,kosa,92,RU,1527827527,75,59.94,36.17,15.57
414,carutapera,0,BR,1527827527,94,-1.2,74.78,4.94
415,matamoros,1,US,1527827528,88,25.87,82.4,10.29
416,peniche,20,PT,1527827528,93,39.36,55.4,4.7
417,northam,90,GB,1527827528,100,51.04,57.2,1.12
418,petropavlovsk-kamchatskiy,8,RU,1527827528,33,53.05,59.0,15.66
419,mogadishu,88,SO,1527827528,100,2.04,78.11,13.78
420,san jeronimo,0,PE,1527827529,72,-13.65,21.95,2.04
421,ixtapa,75,MX,1527827529,83,20.71,82.4,4.7
422,clyde river,90,CA,1527827529,92,70.47,30.2,12.75
423,kaduy,0,RU,1527827529,55,59.2,40.7,8.41
424,cap malheureux,40,MU,1527827529,82,-19.98,68.0,2.24
425,rio gallegos,0,AR,1527827530,69,-51.62,39.2,14.99
426,gat,0,SN,1527827530,88,14.69,71.6,8.63
427,hirara,75,JP,1527827530,83,24.8,82.4,13.87
428,balabac,92,PH,1527827530,100,7.99,77.3,17.69
429,barcelos,40,PT,1527827530,93,41.53,53.6,2.26
430,wakkanai,0,JP,1527827531,58,45.41,59.0,10.29
431,oum hadjer,0,TD,1527827531,56,13.3,81.98,10.42
432,vallenar,0,CL,1527827531,81,-28.58,40.76,1.59
433,katangli,0,RU,1527827531,49,51.71,55.64,11.43
434,west bay,90,GB,1527827531,100,50.71,57.2,2.24
435,upernavik,76,GL,1527827531,83,72.79,35.48,6.85
436,penzance,75,GB,1527827532,93,50.12,59.0,1.12
437,chumikan,0,RU,1527827532,62,54.72,61.73,1.92
438,chateaubelair,40,VC,1527827532,83,13.28,80.6,20.8
439,gualaco,40,HN,1527827533,88,15.03,78.8,3.36
440,nouadhibou,12,MR,1527827533,72,20.93,68.0,16.11
441,varangaon,0,IN,1527827533,36,21.01,102.5,8.08
442,gigmoto,36,PH,1527827533,96,13.78,86.21,4.94
443,clearwater,40,US,1527827534,100,27.97,78.8,5.73
444,saint-joseph,0,FR,1527827534,93,43.56,62.6,4.7
445,libertad,90,AR,1527827534,93,-34.7,51.8,11.41
446,tromso,75,NO,1527827534,87,69.65,44.6,14.99
447,samarina,0,RU,1527827535,70,57.89,48.2,6.73
448,sao felix do xingu,48,BR,1527827535,53,-6.64,82.82,4.72
449,tchollire,8,CM,1527827535,84,8.4,77.84,3.94
450,muborak,0,UZ,1527827535,28,39.25,91.61,5.28
451,belyy yar,0,RU,1527827536,53,53.6,62.6,15.66
452,ayan,36,TR,1527827536,87,40.67,54.53,3.15
453,inongo,24,CD,1527827536,94,-1.93,75.14,2.93
454,manoel urbano,32,BR,1527827536,96,-8.84,73.28,2.15
455,broome,80,GB,1527827536,100,52.47,59.0,3.36
456,grindavik,90,IS,1527827537,81,63.84,42.8,9.17
457,faya,0,SA,1527827537,49,18.39,68.0,3.71
458,roald,20,NO,1527827537,100,62.58,62.6,8.05
459,jablanica,0,BA,1527827537,88,43.66,62.6,2.24
460,dillon,90,US,1527827537,87,45.22,48.2,9.17
461,uruguaiana,90,BR,1527827537,93,-29.77,55.4,18.34
462,korhogo,0,CI,1527827538,91,9.46,74.42,8.63
463,hearst,92,CA,1527827538,99,49.69,42.14,10.98
464,det udom,40,TH,1527827538,74,14.9,86.0,4.7
465,krasnyy oktyabr,8,RU,1527827538,52,56.12,49.67,12.44
466,argentan,75,FR,1527827539,93,48.74,60.8,8.05
467,chuy,92,UY,1527827539,98,-33.69,60.23,20.38
468,vila franca do campo,75,PT,1527827539,82,37.72,64.4,9.17
469,hofn,0,IS,1527827539,93,64.25,46.73,5.84
470,coahuayana,0,MX,1527827539,61,18.62,75.89,2.04
471,celestun,8,MX,1527827539,97,20.87,83.0,15.12
472,belaya gora,0,RU,1527827539,72,68.54,44.81,9.31
473,bontang,64,ID,1527827540,95,0.12,83.87,7.4
474,gedo,92,ET,1527827540,100,9.01,61.01,3.27
475,bela vista,92,BR,1527827540,96,-22.11,67.85,5.06
476,poronaysk,48,RU,1527827541,62,49.22,62.63,6.96
477,gornja koprivna,0,BA,1527827541,96,45.01,61.76,2.15
478,lake charles,1,US,1527827541,94,30.23,80.6,3.36
479,anloga,20,GH,1527827541,88,5.79,78.8,5.82
480,loanda,80,BR,1527827541,70,-22.93,69.47,9.08
481,moose factory,90,CA,1527827542,100,51.26,33.8,14.99
482,delta del tigre,90,UY,1527827542,93,-34.76,53.6,18.34
483,hailar,56,CN,1527827542,51,49.2,84.32,13.0
484,benalla,0,AU,1527827542,41,-36.55,57.2,2.24
485,mangan,56,IN,1527827542,66,27.5,49.16,1.7
486,baherden,0,TM,1527827542,53,38.44,90.89,4.05
487,north bend,1,US,1527827543,76,43.41,53.6,4.7
488,buraydah,0,SA,1527827543,25,26.33,87.8,9.17
489,kasongo-lunda,20,CD,1527827543,93,-6.48,69.47,1.92
490,cheney,75,US,1527827543,50,47.49,59.0,16.11
491,olinda,75,EC,1527827544,83,-2.03,71.6,11.41
492,matelandia,90,BR,1527827544,93,-25.24,66.2,5.82
493,paamiut,92,GL,1527827544,92,61.99,37.73,34.14
494,pitimbu,20,BR,1527827544,88,-7.47,71.6,6.93
495,sitka,0,US,1527827544,65,37.17,77.96,8.63
496,yantal,100,RU,1527827544,71,56.85,55.7,9.75
497,yekaterinovka,0,RU,1527827545,49,46.69,68.03,17.69
498,villamontes,92,BO,1527827545,99,-21.26,51.38,5.95
499,arlit,0,NE,1527827545,25,18.74,72.2,3.04
